"reason","timeTaken","testStepResults","failedTestSteps","startTime","testCaseName","status","testCaseId","testStepParameters"
"","336","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepResults-7.csv","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\errors-7.csv","20:21:20","TC_01_Multiplication_of_two_Positive_Numbers","PASS","1b959d08-8e42-458a-af98-2442582580a6","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepParameters-7.csv"
"","496","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepResults-8.csv","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\errors-8.csv","20:21:21","TC_02_Multiplication_of_two_Negative_Numbers","PASS","2656b7a7-28dc-4e1c-839b-307315c04f64","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepParameters-8.csv"
"","370","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepResults-9.csv","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\errors-9.csv","20:21:21","TC_03_Multiplication_of_OnePositive_Number_&_OneNegative_Numbers","PASS","3458063c-07b4-492a-8617-67be6af18f81","C:\Users\dsharman2\Music\Introduction to API Testing - ReadyAPI\REST  Projects\TestReports\DataExport\TestCaseTestStepParameters-9.csv"
